epoch,acc,loss,val_acc,val_loss
0,0.384375,5.495861129760742,0.42,5.7491734504699705
1,0.249375,4.937049803733825,0.38,4.786400489807129
2,0.29625,4.7825782370567325,0.34,4.650997152328491
3,0.344375,4.745105268955231,0.4,4.652623653411865
4,0.37625,4.533491117954254,0.41,4.11356517791748
5,0.38625,4.439146103858948,0.43,5.096838188171387
6,0.40625,4.3457194471359255,0.4,4.123510494232177
7,0.388125,4.114199690818786,0.42,3.8207551193237306
8,0.408125,4.2908420419693,0.42,3.7878496265411377
9,0.393125,4.4168834257125855,0.42,5.522056970596314
10,0.40125,4.462792146205902,0.42,4.760920257568359
11,0.398125,4.146913330554963,0.47,4.526360034942627
12,0.3975,4.194903018474579,0.42,4.196438655853272
13,0.385,4.098107979297638,0.38,3.645308532714844
14,0.401875,4.199122602939606,0.37,3.830935878753662
15,0.3925,4.210223498344422,0.42,4.469060668945312
16,0.3775,4.134261538982392,0.38,3.63368634223938
17,0.389375,4.049174501895904,0.41,4.477841300964355
18,0.3875,3.9431250715255737,0.41,4.177078056335449
19,0.4075,4.102981810569763,0.39,3.969984140396118
20,0.394375,3.9830730605125426,0.48,3.6464953804016114
21,0.41625,4.064162046909332,0.42,3.497075309753418
22,0.4025,4.162365462779999,0.43,3.54732328414917
23,0.415,3.947148258686066,0.37,3.428153600692749
24,0.411875,3.898918116092682,0.5,3.441248025894165
25,0.41125,3.9551149463653563,0.41,4.023246479034424
26,0.4325,3.9860732316970826,0.48,3.5247529888153077
27,0.40625,3.9300582647323608,0.43,4.250504837036133
28,0.426875,3.97353928565979,0.44,3.5178720283508302
29,0.42875,3.951968636512756,0.41,3.4591753005981447
30,0.41875,4.092835066318512,0.38,3.931126537322998
31,0.421875,4.049268209934235,0.39,3.655772294998169
32,0.408125,3.9803723740577697,0.45,4.6130612850189205
33,0.426875,4.073446991443634,0.43,3.709461250305176
34,0.42625,3.9990551376342776,0.44,4.059047908782959
35,0.45625,4.121191868782043,0.45,3.9025951766967775
36,0.414375,4.069254822731018,0.36,4.45743350982666
37,0.435625,4.1309540605545045,0.49,5.291795520782471
38,0.42625,4.2850652384757995,0.44,4.655090179443359
39,0.410625,4.096103360652924,0.46,4.1207559776306155
40,0.433125,4.29630524635315,0.43,4.815108795166015
41,0.42125,4.24359162569046,0.4,3.779594144821167
42,0.39375,4.036684672832489,0.48,3.5490489196777344
43,0.4075,4.152472488880157,0.46,3.529992160797119
44,0.416875,3.9731229043006895,0.48,3.947800579071045
45,0.393125,4.194670238494873,0.49,5.149486751556396
46,0.448125,4.060832664966584,0.53,4.457513637542725
47,0.4225,3.9959731125831603,0.44,3.619623785018921
48,0.39875,4.024554097652436,0.46,4.173126487731934
49,0.434375,4.117718732357025,0.47,4.224192819595337
50,0.43,4.156869440078736,0.47,3.959468402862549
51,0.420625,3.9278983807563783,0.45,3.3743117904663085
52,0.41625,4.064936647415161,0.48,3.995591106414795
53,0.436875,3.909238920211792,0.49,3.870814790725708
54,0.4575,3.881503868103027,0.5,3.5774310874938964
55,0.420625,3.718353924751282,0.52,3.42157320022583
56,0.425,3.8521063828468325,0.49,3.418799362182617
57,0.4325,3.942259588241577,0.51,4.286618547439575
58,0.4325,3.809571022987366,0.56,3.7727614307403563
59,0.4625,3.7916958832740786,0.52,3.6819295692443847
60,0.4475,3.762106840610504,0.51,3.3594720363616943
61,0.42,3.9298910117149353,0.52,3.3845047187805175
62,0.458125,4.001992938518524,0.49,4.142541236877442
63,0.4525,3.89918169260025,0.52,3.465299339294434
64,0.44625,3.9119132351875305,0.53,3.7222210121154786
65,0.46,3.8468299388885496,0.5,4.473033657073975
66,0.444375,3.864640109539032,0.53,4.377333946228028
67,0.461875,3.786458411216736,0.54,3.38331600189209
68,0.4475,3.855043592453003,0.5,3.4358930587768555
69,0.435625,4.035224001407624,0.55,3.370261449813843
70,0.463125,3.9589319896697996,0.49,3.287816047668457
71,0.445,4.173035898208618,0.48,3.8105470943450928
72,0.455,4.071251783370972,0.47,3.837488784790039
73,0.449375,4.183210642337799,0.47,4.215345211029053
74,0.45,4.058257303237915,0.46,5.047711143493652
75,0.443125,3.8921892404556275,0.48,3.8928042602539064
76,0.446875,4.116468255519867,0.51,3.2454113388061523
77,0.465625,3.819969160556793,0.49,3.579569320678711
78,0.444375,3.7862661862373352,0.52,3.4519955825805666
79,0.45625,3.797097237110138,0.5,3.360077590942383
80,0.460625,3.7933792757987974,0.51,3.4712436771392823
81,0.450625,3.859789729118347,0.51,4.636452598571777
82,0.44625,3.7417127871513367,0.45,3.4782453536987306
83,0.436875,3.808140869140625,0.48,3.409908905029297
84,0.454375,3.9390274310112,0.43,4.863530788421631
85,0.45625,4.099986004829407,0.48,4.274054203033447
86,0.45125,4.172983365058899,0.46,4.651088485717773
87,0.43625,4.192728354930877,0.49,4.255655307769775
88,0.470625,3.95885716676712,0.53,3.6229828929901124
89,0.445625,3.960400869846344,0.45,3.8671541881561278
90,0.398125,4.0857412981987,0.5,3.5560196685791015
91,0.446875,3.860488157272339,0.51,3.457242012023926
92,0.4275,3.910100703239441,0.5,3.364139823913574
93,0.449375,4.019610028266907,0.51,3.363791570663452
94,0.446875,4.107674348354339,0.48,4.267379350662232
95,0.44625,4.0796236801147465,0.52,3.428740768432617
96,0.47,4.035176203250885,0.44,4.793328762054443
97,0.451875,3.9114560866355896,0.51,3.9628758907318113
98,0.434375,4.050563967227935,0.51,3.962021713256836
99,0.444375,4.1231973314285275,0.47,4.180319700241089
100,0.445,3.8624915885925293,0.53,3.9056418418884276
101,0.458125,3.8602330446243287,0.47,4.153045816421509
102,0.445,4.059487519264221,0.47,3.4062454509735107
103,0.4625,3.9481223917007444,0.49,5.988693523406982
104,0.479375,3.894517822265625,0.51,5.244268264770508
105,0.46375,4.029919407367706,0.5,4.282855911254883
106,0.46375,4.051925210952759,0.51,3.6231404876708986
107,0.44625,4.268535583019257,0.43,7.6006451606750485
108,0.445625,4.058507118225098,0.47,5.6948706245422365
109,0.450625,3.8779570651054383,0.48,3.463073387145996
110,0.44875,4.053944902420044,0.48,4.009987182617188
111,0.454375,3.7637945580482484,0.5,4.19866720199585
112,0.465625,3.9558452701568605,0.52,3.888313179016113
113,0.464375,3.7238540863990783,0.54,3.7215045166015623
114,0.4575,3.8335430431365967,0.54,3.316172218322754
115,0.4875,3.8562327909469603,0.5,3.352369899749756
116,0.47,3.7789271759986875,0.52,3.3024419593811034
117,0.468125,3.740809268951416,0.53,3.2660750198364257
118,0.483125,3.666465654373169,0.51,3.392319850921631
119,0.4425,3.749564940929413,0.53,4.2829320526123045
120,0.483125,3.8570536613464355,0.47,3.6123033237457274
121,0.48125,3.7819688439369203,0.48,3.4191277694702147
122,0.480625,3.797933611869812,0.5,3.4285110092163085
123,0.453125,3.658571119308472,0.49,3.4079519844055177
124,0.464375,3.5848713397979735,0.51,3.298051986694336
125,0.469375,3.5574499940872193,0.53,3.4057912254333496
126,0.4575,3.584724850654602,0.54,3.3078533267974852
