epoch,acc,loss,val_acc,val_loss
93,0.453125,3.8247721147537233,0.5,3.4403538799285887
94,0.443125,3.978847427368164,0.5,3.412453317642212
95,0.435,3.827478060722351,0.5,3.3923121643066407
96,0.449375,4.000348739624023,0.5,3.683680286407471
97,0.43375,3.905643901824951,0.51,3.511435794830322
98,0.446875,3.835223650932312,0.56,3.4197915267944334
99,0.42375,4.017502970695496,0.52,3.3629680633544923
100,0.445625,3.784402623176575,0.57,3.3519716167449953
101,0.455,3.825493350028992,0.5,3.3692879676818848
102,0.453125,3.83043336391449,0.53,3.367547645568848
103,0.44875,3.8306499099731446,0.55,3.476835317611694
104,0.453125,3.8266774082183836,0.56,3.3457664680480956
105,0.455,3.913512451648712,0.58,3.3528366470336914
106,0.43875,4.0173915672302245,0.5,3.7542519569396973
107,0.433125,4.296876361370087,0.48,4.917241325378418
108,0.396875,4.28790851354599,0.47,5.42419771194458
109,0.43375,4.3498315286636355,0.49,4.411169233322144
110,0.439375,4.1802112054824825,0.49,3.5333603286743163
111,0.42875,4.083272213935852,0.46,3.614705944061279
112,0.423125,4.107337658405304,0.52,3.499802532196045
113,0.419375,3.886663222312927,0.53,3.441079044342041
114,0.431875,3.919516282081604,0.52,3.4716205024719238
115,0.47125,3.9540083503723142,0.51,3.4209592819213865
116,0.45125,3.8433249974250794,0.47,3.5314596939086913
117,0.446875,3.7919244360923767,0.52,3.4505085277557375
118,0.456875,3.719034698009491,0.55,3.4921142196655275
119,0.4325,3.8550066614151,0.52,3.846981182098389
120,0.464375,3.9434044408798217,0.48,5.004126510620117
121,0.44125,3.934384076595306,0.47,4.081582622528076
122,0.464375,3.882124683856964,0.51,3.415876617431641
123,0.415625,3.7406554198265076,0.52,3.4303632736206056
124,0.42625,3.7658289742469786,0.5,3.3443568038940428
125,0.435,3.5756805467605592,0.47,3.4618059730529787
126,0.42875,3.65890825510025,0.47,3.7830056285858156
127,0.458125,3.726137652397156,0.5,3.4941992378234863
128,0.44125,3.684661178588867,0.52,3.3884819030761717
129,0.445,3.662865526676178,0.52,3.2852524757385253
130,0.455625,3.70835946559906,0.54,3.3589200305938722
131,0.4525,3.7208280849456785,0.52,3.516259708404541
132,0.46625,3.6771372675895693,0.52,3.5434984302520753
