epoch,acc,loss,val_acc,val_loss
0,0.23375,5.110628199577332,0.15,4.571868314743042
1,0.16,4.848384747505188,0.36,4.292409038543701
2,0.316875,4.751102132797241,0.33,4.438480949401855
3,0.358125,4.733456544876098,0.34,5.109176435470581
4,0.34625,4.5530166959762575,0.34,4.459464092254638
5,0.373125,4.583841993808746,0.35,3.9714748954772947
6,0.404375,4.438810431957245,0.35,4.102541589736939
7,0.3875,4.250939128398895,0.35,4.255310115814209
8,0.39875,4.314182708263397,0.35,3.963479309082031
9,0.394375,4.244102828502655,0.35,3.665399284362793
10,0.4125,4.222451474666595,0.35,3.852246255874634
11,0.408125,4.0435364723205565,0.35,3.595514678955078
12,0.408125,4.16646903514862,0.35,3.646007122993469
13,0.399375,4.038887267112732,0.35,3.496214199066162
14,0.424375,4.022136161327362,0.35,3.814374041557312
15,0.424375,4.05620929479599,0.35,3.702645893096924
16,0.405625,3.9578254294395445,0.35,3.3254211568832397
17,0.415,3.900143837928772,0.35,3.6117698764801025
18,0.405625,3.952731132507324,0.35,3.5833118677139284
19,0.424375,3.9933456707000734,0.35,3.5675710678100585
20,0.411875,3.9526293802261354,0.4,3.5216936111450194
21,0.4175,3.980109250545502,0.35,3.5894886112213134
22,0.419375,3.8845296502113342,0.4,3.356782455444336
23,0.4025,3.9039916467666624,0.36,3.366244149208069
24,0.435625,3.8673882341384886,0.38,3.3285599040985105
25,0.41,3.890102105140686,0.4,3.3175054740905763
26,0.420625,3.8032649207115172,0.38,3.148846049308777
27,0.398125,3.8220059132575988,0.42,3.0737028694152833
28,0.405,3.7981997513771057,0.39,3.3646663665771483
29,0.433125,3.751995575428009,0.44,3.0978488159179687
30,0.43125,3.6910669016838074,0.41,3.1632945251464846
31,0.424375,3.684616947174072,0.46,2.9607666397094725
32,0.43,3.550676929950714,0.39,3.1732208156585693
33,0.4275,3.8743143105506896,0.44,3.6338225555419923
34,0.391875,3.838621814250946,0.38,3.476896228790283
35,0.4225,3.8559840512275696,0.27,6.173861293792725
36,0.3975,3.7797998070716856,0.42,3.419462842941284
37,0.429375,3.7430184125900268,0.49,3.2067994689941406
38,0.366875,3.9828169178962707,0.41,3.2833444404602052
39,0.391875,3.8452375531196594,0.37,3.5110338306427002
40,0.41375,3.914264998435974,0.37,3.2367843055725096
41,0.4075,3.8338124918937684,0.45,3.1762564849853514
42,0.41,3.577278740406036,0.45,3.2852119827270507
43,0.414375,3.779719846248627,0.47,3.227092409133911
44,0.424375,3.7002037453651426,0.44,3.018274869918823
45,0.41125,3.770959322452545,0.46,3.2038339138031007
46,0.450625,3.8174128222465513,0.48,3.2099252843856814
47,0.40875,3.7085988664627076,0.44,3.0945206260681153
48,0.39375,3.6790436720848083,0.4,3.462011704444885
49,0.434375,3.860629653930664,0.44,3.0223621368408202
50,0.41625,3.9433892941474915,0.49,3.763031120300293
51,0.41625,3.7891325402259826,0.47,3.4330406284332273
52,0.434375,3.829771251678467,0.47,3.1655220222473144
53,0.438125,3.7874243903160094,0.49,2.965531516075134
54,0.45875,3.686180465221405,0.45,3.0668690490722654
55,0.419375,3.6992293882369993,0.46,3.7324811458587646
56,0.425625,3.6401043486595155,0.41,3.2343680667877197
57,0.413125,3.7635414242744445,0.52,3.6658094120025635
58,0.43125,3.7128022933006286,0.48,3.0330263423919677
59,0.4375,3.6982826089859007,0.44,3.026725149154663
60,0.43625,3.6271588611602783,0.43,3.752324814796448
61,0.434375,3.8083673548698425,0.49,3.172544836997986
62,0.46625,3.8683854007720946,0.47,3.6783862113952637
63,0.45375,3.702855496406555,0.51,3.2631791114807127
64,0.45,3.7151873254776,0.53,2.928939867019653
65,0.460625,3.6721717429161074,0.5,3.459878530502319
66,0.43375,3.7225652146339416,0.51,3.4704306316375733
67,0.433125,3.7788942217826844,0.53,3.5881508731842042
68,0.440625,3.7675713896751404,0.45,3.609238181114197
69,0.429375,3.7434661865234373,0.53,3.267280628681183
70,0.455,3.812312524318695,0.52,2.8091247415542604
71,0.441875,3.750587472915649,0.55,3.261947374343872
72,0.450625,3.82092964887619,0.48,3.5697982501983643
73,0.4375,3.689020884037018,0.52,3.3839880561828615
74,0.46375,3.6703740787506103,0.48,3.226910696029663
75,0.435,3.608934075832367,0.48,2.9697709107398986
76,0.454375,3.8284713339805605,0.46,3.4840739727020265
77,0.451875,3.8705457854270935,0.51,3.070228018760681
78,0.45875,3.6835835313797,0.44,3.4975459289550783
79,0.44,3.7337254881858826,0.38,3.288247265815735
80,0.4375,3.814386968612671,0.43,3.156256790161133
81,0.43875,3.7834257769584654,0.5,3.514721088409424
82,0.443125,3.657630023956299,0.5,3.2754995155334474
83,0.42,3.873293445110321,0.42,3.83262228012085
84,0.42,3.7842865204811096,0.46,3.48825624704361
85,0.43875,3.7128182816505433,0.48,3.3412069702148437
86,0.441875,3.7266086077690126,0.49,3.2817729568481444
87,0.453125,3.6266951894760133,0.49,3.2488914918899536
88,0.440625,3.690580179691315,0.51,3.892775146961212
89,0.439375,3.844544014930725,0.46,3.492543144226074
90,0.45125,3.767497582435608,0.48,3.4388935470581057
91,0.4425,3.5508868360519408,0.54,3.3117306423187256
92,0.44875,3.583014748096466,0.52,3.3629084253311157
93,0.4725,3.577931203842163,0.51,3.2122222495079042
94,0.4625,3.555478479862213,0.54,3.2074375700950624
95,0.456875,3.541181012392044,0.47,3.2308104038238525
96,0.478125,3.682036452293396,0.45,3.460711874961853
97,0.466875,3.616423180103302,0.49,3.385561065673828
98,0.44625,3.6270645785331728,0.5,3.226314113140106
99,0.450625,3.64160635471344,0.5,2.8472197341918943
100,0.47,3.4556140077114104,0.49,2.808106679916382
101,0.48875,3.4888579452037813,0.49,4.310647516250611
102,0.455625,3.5717283701896667,0.57,2.7509207582473754
103,0.483125,3.580036109685898,0.53,3.019211926460266
104,0.4775,3.5597436738014223,0.53,2.9040556383132934
105,0.46625,3.5362891602516173,0.55,2.7987749409675597
106,0.461875,3.584568159580231,0.55,2.764474732875824
107,0.460625,3.591744406223297,0.53,2.8719668626785277
108,0.46,3.5639200091361998,0.54,3.175568025112152
109,0.493125,3.5161082577705383,0.55,2.8823183798789977
110,0.475,3.54571790933609,0.44,4.60283727645874
111,0.494375,3.467493712902069,0.53,3.4228284740448
112,0.48375,3.541560196876526,0.57,2.9013699817657472
113,0.470625,3.5597523188591005,0.5,3.2550902652740477
114,0.49,3.5870690178871154,0.5,3.38356502532959
115,0.49,3.6248508286476135,0.56,3.3516526675224303
116,0.49125,3.421218272447586,0.52,3.4654063034057616
117,0.47875,3.6448244976997377,0.55,3.3051962089538574
118,0.505625,3.4266942596435546,0.51,3.31198059797287
119,0.460625,3.5739434432983397,0.5,3.229221215248108
120,0.506875,3.607028146982193,0.53,3.201498508453369
121,0.488125,3.6334452342987063,0.51,3.2962592792510987
122,0.491875,3.6890605330467223,0.5,3.250285985469818
123,0.47125,3.4662102377414703,0.54,3.174302978515625
124,0.458125,3.588975030183792,0.5,2.9967578840255737
125,0.473125,3.5406630885601045,0.53,3.00264456987381
126,0.47125,3.688630201816559,0.55,3.4929433131217955
127,0.508125,3.5578779006004333,0.52,2.7788464641571045
128,0.501875,3.6161307978630064,0.57,3.1690934467315675
129,0.46625,3.5327157330513,0.56,3.744876570701599
130,0.485,3.4322486901283265,0.58,3.588306498527527
131,0.479375,3.4822444844245912,0.56,2.751112554073334
132,0.50375,3.575177838802338,0.45,3.0729915571212767
